Location,Country,Division,About1,About2,Description,AddressText,AddressTitle,Address
Panevėžys,Lithuania,Wiring Harness,"Industrial traditions, cultural innovations, heritage reminiscent of the city's history interwine in Panevėžys. Although Panevėžys has the title of an industrial city, the city also has unforgettable theater, music, ceramics, photography and history.

The city has an environmentally friendly infrastructure, promoting the principles of sustainable mobility. The length of bike paths in the city is more than 100 kilometers.","1. Donation of computers to a local school.        
2. World environmental day campaign.
3. Replacing old light bulbs to new LED lighting.
4. Blood donation.
5. Donation to the old people's home.
6. Donation to Women's Crisis Center.
7. Collecting food for an animal shelter.

Employee activities:
1. Employees vaccination against flu.
2. Employees vaccination against Covid-19.
3. Organisation of employees periodic testing for covid-19.
4. Two employees of the company were involved in a car accident. The company collected donations to help the employee recover as quickly as possible","Panevėžys is lively, green and growing city that offers a lot of alternatives for people who enjoy active lifestyle. Being one of the largest industrial centers in Lithuania, Panevėžys can offer promising jobs and is perfect for families.

Panevėžys is the fifth-biggest city in Lithuania with population of 119,000, on the shore of the River Nevėžis not far from the Via Baltica highway between Vilnius and Riga.","In 1997, a cable braid assembly workshop was established within AB Lietkabelis.                                  In 2007, began cooperation with the company PKC Group.
2010-2014 Production of SCANIA Frame, Roof, Floor, Door, Instrument Panel braids started.
In 2014, the company PKC Group Lithuania was established in Panevėžys.
In 2017, Samvardhana Motherson Group bought PKC Group.
In 2021, PKC Group Lithuania opened a branch in Klaipėda.",,"J. Janonio g. 4
LT-35101 Panevezys
Lithuania"
Polinyà,Spain,Modules and Polymers,"The SMP plant in Polinya employs around 310 people. It is SMP’s largest location in Spain and the main engineering and management centre of SMP’s activities in Spain. The factory has recently been equipped with state-of-the-art production technology, making it one of SMP’s most modern and efficient production and logistics sites. Join our team and help us to shape world class vehicles with our products.",See in attached PPT (in the mail),"From agriculture to modern industries
SMP has three plants located in Martorell, Polinya and Castellbisbal in the province of Barcelona. Historically speaking, Polinya is an agricultural municipality where cereals, vineyards and orchards were cultivated. In the twentieth century, in the early 1960’s, the town began to change with the introduction of the first industries to become what it is today: a residential village with a series of important industries located in different areas. The most famous monument is the Romanesque church of Sant Salvador, which was consecrated in 1122, although it first appeared in documents in the middle of the eleventh century. The main attraction of Martorell, Polinya and Castellbisbal in the province of Barcelona is undoubtedly their proximity to the city of Barcelona, which is one of the world's top 10 most visited cities according to Forbes. Barcelona is an open, cosmopolitan city, where social cohesion is a reality. The Catalan capital is also ranked among the best cities in the world for quality of life, safety and equality. It is a city that is easy to live in, a healthy city with a Mediterranean climate, green spaces and locally produced food. Living in Barcelona ensures that you have a good quality of life. There are many neighbourhoods to explore in Barcelona, and in each one there is something to do, visit and enjoy: iconic buildings, markets, parks, the treasures of the old city and so on. ",,,"Ctra. B-142 a Sentmenat, 18-20
08213 Polinyà (Barcelona)
Spain"
Port Huron,USA,Vision Systems,,,Info available on SMR website under current location descriptions,,,"2611, 16th Street
Port Huron 48060
Michigan
United States
"
Portchester,UK,Vision Systems,,"Every year, we identify a Charity of the Year to raise funds for; this year it is Chestnut Tree House - a local charity. In addition, we have our Hands that Help volunteering initiative that gives our employees the opportunity to volunteer at 4 different charities throughout the year. We also participate in other charity fundraising events such as Macmillan Coffee Morning to raise funds for other charities close to our hearts",Info available on SMR website under current location descriptions,"We offer apprenticeship programmes, sponsored further education, partner with local schools and colleges to support our STEM strategy and recently partnered with EnableAbility to offer work experience to young adults that have extra learning needs. In addition, we pay for professional memberships relevant to employee roles",,
Pozarevac,Serbia,Wiring Harness,"Pozarevac is one of the most important industrial centers in Serbia. The industrial structure is extremely diversified, and the predominant economic branches are: industry, agriculture and energy.","The ‘People Care’ programme developed and carried out in PKC Serbia is focused on organising monthly activities for our employees and joining forces to work for the well-being of communities as well. Activities such as sports for everyone, vouchers for babies, New Year's packages, gifts for children entering the first grade of primary school represent the way in which PKC takes care of employees and their families.","Pozarevac is an administrative centre of the Branicevo District in eastern Serbia. It is located between three rivers: Danube, Great Morava and Mlava. ","PKC Group offers:
1. Extraordinary working conditions in a modern and clean environment;
2. Organized transportation;
3. Training for new employees;
4. The possibility of learning, improvement and advancement;
5. Working in an enthusiastic, young team.",,"Djure Djakovica bb
Pozarevac
Serbia"
Puebla,Mexico,Modules and Polymers,Volkswagen is the biggest employer in Puebla. SMP employs round about 570 people in our local plant. Join our team and help us to shape world class vehicles with our products.,,"Volcanos, Talavera and churches
Puebla is the one of the oldest cities in Mexico and offers multiple attractions – from natural spectacles to cultural sights.
Puebla is located southeast of Mexico City and west of Mexico´s main Atlantic port, Veracruz. The magnificent view of Popocatepetl and Iztaccihuatl volcanos, are only one of the many attractions worth mentioning, in the fourth largest city of Mexico. The Cathedral, the Palafoxian Library, the Amparo Museum, Cholula or Los Sapos are some of the other famous attractions. The city is also well known because of its many churches with craftsmanship that is characteristic of this region. There are 288 catholic temples to be exact and most of them are decorated with Talavera, which is a type of pottery distinguished by a white glaze and is only produced in Puebla.",,,"Av. Tlaxcala 480, Barrio del Calvario
72700 San Juan Cuautlancingo
Mexico"
Pune,India,Vision Systems,,Plantation in Village schools,,Apprenticeship programme available- Work with skill development agencies and train young people,,
Rayong,Thailand,Vision Systems,,Blood donations and supports books to schools ,Info available on SMR website under current location descriptions,,,"62 Moo 4
Pluakdaeng 21140
Rayong, Thailand"
Rayong,Thailand,Modules and Polymers,"The factory is located in the Eastern Seaboard, Pluak Daeng District, Rayong Province, where many factories are located.
Around the factory there are community resources. and prosperous convenient transportation including near Laem Chabang Port Convenience for exporting products",,"Rayong is an eastern Thai province on the Gulf of Thailand, known for its national parks and beaches. On its south coast, the beach at Ban Phe is home to a fishing community and is the gateway to Koh Samet island, part of the Khao Laem Ya - Mu Ko Samet National Park. To the west, the long, flat Mae Ram Phueng beach offers panoramic views. Farther east, Laem Mae Phim beach has small waves and beachside restaurants",,,"62 Moo 4
Pluakdaeng 21140
Rayong, Thailand"
RGT,France,Modules and Polymers,You can easily go skiing in winter and beautiful hikes in summer. For those who loves music we have 2 xorld famous festivals ( The international university music festival and the Eurokéennes).  ,,Rougegoutte is a small village located in the East of France of more than 1000 inhabitants. Rougegoutte is located at the foot of the Vosges mountains and near the town of Belfort. the particularity of Rougegoutte is that we have 2 production sites 1km apart.,,,
Salceda,Spain,Modules and Polymers,"Salceda de Caselas is only 20 minutes from the main city of Galicia, Vigo, where you can do all kinds of activities and excursions. 
Salceda has endless possibilities when it comes to hiking, rafting, enjoying the beach, the river, the mountains or cycling routes. One of Vigo's main attractions are the Cies Islands, chosen by THe Guardian as the best beach in the world. In them, you can enjoy the crystal clear water, as well as the forest that surrounds the beach.  The Cíes Islands are, without a doubt, the great natural treasure to see near Vigo. These islands are part of the Atlantic Islands Natural Park (together with Ons, Sálvora and Cortegada) and are a paradise of flora and fauna, with one of the richest underwater ecosystems in all of Galicia. Archaeological remains have been found in it that show human presence since 3500 BC.  Among the most famous local activities in Salceda are the carnivals or do The Way to Santiago de Compostela traveling the historic Camino Portugués from Portugal and crossing Tuy, Porriño, Redondela, Pontevedra, Caldas de reis, Padrón and Santiago .Since the 12th century, the flow of pilgrims to the north of the Peninsula has been establishing connections not only spiritual but also cultural and economic. 

On the outskirts of Vigo, we can find the Vigo estuary and the main tourist attractions there are:  Practice water sports in Vigo, Cangas, Nigran, Redondela, Moaña and Bayona. Beaches with all the services located in calm waters. Golf: two 18-hole courses and one 9-hole course nearby. Parador Nacional ""Conde de Gondomar"", in Bayonne, located inside a medieval fortress, has a privileged natural setting and comfortable facilities. Pazo de los Escudos in Vigo: an old Galician country house with the largest collection of Galician heraldic carving distributed among its walled gardens;

In relation to mountains and history to visit in Salceda and its surroundings, there are historical mountains such as Monte Alba, Santa tecla mountain, El Cepudo or Castro. Galicia in general, and Vigo in particular, has a spectacular variety and quality in terms of food; It is one of the best places to eat meat, seafood, fish, vegetables and wine. Also in Salceda and in Vigo there are several industrial companies related to automotive, fishing and canning industry, which are one of the main engines of the local economy. One of the largest automotive factories in Europe is located in Vigo. The weather in Salceda de Caselas is usually hot in summer and cold in winter.   ","Annual blood donation, food and toy collection campaign for people with few resources, collaboration with non-profit entities or the fight against cancer, collaboration with colleges with special neededs","Salceda de Caselas is a Spanish town located in the southeastern part of the Vigo region, in the province of Pontevedra, region of Galicia. It limits with the towns of Tuy, Porriño, Puenteareas and Salvatierra de Miño. Salceda de Caselas is one of the towns that make up the Metropolitan Area of ​​Vigo. Salceda de Caselas has around 10.000 citizens.","Apprenticeship programme available - work with local schools, colleges and universities to recruit and train young people in the local area",,"Carretera Nacional 550 Porriño-Tuy, km 164,5- El Cerquido
36472 Salceda de Caselas
Pontevedra 
Spain"
San Luis Potosi,Mexico,Vision Systems,,"Every year activitites focused on Environment, Health, Education, Safety and other topics are supported within community of our collaborators",Info available on SMR website under current location descriptions,"Automated paint line with the highest quality level, as well as molding, which is one of the most stabled process",,"Av. Detroit 201, Parque Industrial Ligistik 2
Villa de reyes
79526 San Luis Potosi
Mexico"
Santa Rosa,Philippines,Modules and Polymers,"The site is located inside Greenfiel Automotive Park, an industrial park, where there are a lot of factories around. It is also close to household communities where people who want to work in the area can easily find an apartment where they can stay and travel conveniently. There are also shopping malls nearby and a theme park called Enchanted Kingdom.",,"Santa Rosa, officially known as the City of Santa Rosa, is a 1st class component city in the province of Laguna, Philippines. One of the largest cities, forming the urban sprawl along the western coast of Laguna de Bay.     The City of Santa Rosa is also known as the Investment hub of South Luzon, having four (4) PEZA-accredited economic zones; it is the MotorCity of the Philippines, being home to four (4) of the major car assemblers in the country . There are also industrial parks and major residential communities.
                                                                                                                         ",,,
Sao Bernardo do Campo,Brazil,Modules and Polymers,"In Sao Bernardo do Campo, SMP operates a module centre where the final assembly of bumpers takes place. Join our team and help us shape world class vehicles with our products.",,"Part of the third largest metropolis in the world
Sao Bernardo do Campo is situated on the southern edge of São Paulo and has a population of around 810,000 inhabitants. Several major car manufacturers have established themselves in this important economic location.
Sao Bernardo do Campo is only approximately 20 kilometres away from the centre of São Paulo.  With a population of 12 million, São Paulo is Brazil’s largest city and is situated 80 kilometres from the Atlantic Ocean. São Paulo is Brazil’s most important economic, financial and cultural centre and also offers many different sights and attractions, including excellent museums, cultural centres, theatres, cinemas, restaurants, nightclubs and bars. ",,,"Est Marginal da Via Anchieta
S/N, Km 23, 5 Ala 5
09823-901 - Dermarchi - SBC - SP
Brazil"
Schierling,Germany,Modules and Polymers,"SMP Schierling is equipped with state-of-the-art facilities: injection molding machines, a fully automatic, huge painting facility, state-of-the-art assembly systems and an intelligent high rack warehouse. The SMP plant in Schierling was established in 2014 and employs around 700 people. It mainly produces high quality bumpers and front grilles for the German premium automotive brands. Join our team and help us to shape world class vehicles with our products.",,"Industry 4.0 in the heart of Bavaria
The market town of Schierling in the Upper Palatinate region is a calm and friendly residential village which offers multiple points of interest such as medieval architecture and leisure activities on the nearby river Danube.
Schierling is located around 30 kilometers from the UNESCO world heritage city of Regensburg. Located on the Danube River, the old town of Regensburg is an exceptional example of a central European medieval trading center, with a mixture of cultural and architectural influences. The city offers a wide range of tourist attractions, including St. Peter’s Cathedral, the Old Stone Bridge, the Golden Tower and the Old Town Hall. Ingolstadt can be reached from Schierling in 30 minutes, and Munich in 60 minutes.",,,"Ludwig-Erhard-Straße 1
84069 Schierling
Germany"
Shanghai,China,Vision Systems,,,,,,
Shanghai,China,Modules and Polymers,"The biggest city in China , Shanghai is known for its skyscrapers and contemporary lifestyle in heart of a booming economy. The city is a perfect blend of modern architectural marvels and historic buildings. 

Aside from being a financial hub, the city is also home to massive departmental stores that sell everything from luxury fashion to high-end electronics. Some of the popular destinations include the waterfront The Bund, Yu Garden, and the spectacular Oriental Pearl TV Tower.",Plant trees on every March 12th. ,"Shanghai, also spelled Shang-hai, east-central China. It is one of the world’s largest seaports and a major industrial and commercial centre of China.

The city is located on the coast of the East China Sea between the mouth of the Yangtze River to the north and the bay of Hangzhou to the south. The municipality’s area includes the city itself, surrounding suburbs, and an agricultural hinterland. Shanghai is China’s most-populous city, and the municipality is its most-populous urban area.","Twice a year, team building and/or family day for all team members.",,
Smederevo,Serbia,Wiring Harness,"The modern founder of the city was the Serbian Despot Djuradj Brankovic in the 15th century, who built Smederevo Fortress in 1430 as the new Serbian capital. Smederevo has a history of heavy industry and manufacturing. Also, Smederevo has one of 14 free economic zones established in Serbia.","The ‘People Care’ programme developed and carried out in PKC Serbia is focused on organising monthly activities for our employees and joining forces to work for the well-being of communities as well. Activities such as sports for everyone, vouchers for babies, New Year's packages, gifts for children entering the first grade of primary school represent the way in which PKC takes care of employees and their families.","Smederevo is an administrative center of the Podunavlje District in eastern Serbia. It is situated on the right side of the Danube, about 45 kilometres away from Belgrade, the Serbian capital. ","PKC Group offers:
1. Extraordinary working conditions in a modern and clean environment;
2. Organized transportation;
3. Training for new employees;
4. The possibility of learning, improvement and advancement;
5. Working in an enthusiastic, young team.",,"Šalinačka bb
11300 Smederevo
Serbia"
Stuttgart,Germany,Vision Systems,,,Info available on SMR website under current location descriptions,,,"Hedelfinger Straße 60
70327 Stuttgart
Germany"
Tanger,Morocco,Modules and Polymers,"Conveniently located in the Tangier Automotive City, near the vast Chrafat new city project led by the public real estate development group Al Omrane. Chrafat planned on 769 hectares must eventually accommodate more than 150,000 inhabitants,

it is close to Tangier which is also one of the largest seaside resorts in the country, with modern hotel infrastructure and various tourist, commercial and craft activities and many jobs have also been created in different fields","every year we help the poor populations of the regions to enable them to celebrate the ceremony of Aid AL ADHA, we distribute the school bags for the children of the commune to encourage them not to leave school, also we Distribute a blankets for the winter season for poor families to allow them to cover themselves in this cold period, and on month of Ramadan we distribute a baskets with basic necessities to help the poor population  (flour, oil, sugar, tea, coffee, ...)","Tangier is a city in northwestern Morocco. It is on the Moroccan coast at the western entrance to the Strait of Gibraltar, where the Mediterranean Sea meets the Atlantic Ocean .
Many civilizations and cultures have influenced the history of Tangier, starting from before the 10th century BCE. Between the period of being a strategic Berber town and then a Phoenician trading center to Morocco's independence era around the 1950s, Tangier was a nexus for many cultures. In 1923, it was considered as having international status by foreign colonial powers and became a destination for many European and American diplomats, spies, bohemians, writers and businessmen.
The city is undergoing rapid development and modernization. Projects include tourism projects along the bay, a modern business district called Tangier City Centre, an airport terminal, and a football stadium. Tangier's economy is set to benefit greatly from the Tanger-Med port.
Tangier is the second economic center of Morocco, after Casablanca. Industrial activities are highly concentrated, particularly in the fields of textiles, chemicals and metallurgical products, as well as in the mechanical, maritime transport and automobile construction sectors. The port area and the free zone have a high rate of daily activities
many international and multinational companies have established themselves in Tangier.",we work with OFPPT: Vocational Training and Labor Promotion Office to recruit  young people in the local area.,,
Taubaté,Brazil,Modules and Polymers,Several well-known car manufacturers are located in Taubaté. SMP operates a module centre here where the final assemblies of bumpers take place. Join our team and help us shape world class vehicles with our products.,,"Located between two Brazilian metropolises
Taubaté is situated between Brazil’s two most important cities, São Paulo and Rio de Janeiro, and has a population of approximately 300,000.
São Paulo is located around 120 kilometres from Taubaté and is the most important centre for commerce, finance and culture in Brazil. It offers many different sights and attractions including excellent museums, cultural centres, theatres, cinemas, restaurants, nightclubs and bars. ",,,"Rua Bernardus Aperloo, 255
Distrito Industrial Piracangaguá,
12042-010 Taubaté-SP
Brazil"
Teruel,Spain,Modules and Polymers,SMP in Fuentes Claras - nearby Teruel - employs 60 people and is mainly an assembly plant in which high quality interior and exterior modules for the local car industry are configured with electric and decorative components. The plant has close links with our operations in the Barcelona region. Join our team and help us to shape world class vehicles with our products.,,"A natural place to dream about
Teruel offers many nature, gastronomy and motor sport highlights. Our plant in Teruel is located in a lovely natural place to dream about, within the Jiloca valley. One highlight is the largest saltwater lagoon in Europe, known as ""Laguna de Gallocanta"", a place that is passed through by cranes. It also offers natural surroundings and majestic medieval villages such as Daroca, Albarracín, Anento and Rubielos de Mora. The Teruel plant is not far from the exit of the motorway that links Zaragoza and Teruel with the Mediterranean Coast (2 hours). On the gastronomic front it is famous throughout the country for its Serrano ham and typical dishes such as “migas”. It also has an annual event which is recognised by motor sport enthusiasts all over the world, the Aragón Grand Prix or Motorland, which hosts Moto GP races around the month of September. ",,,"Poligono Azalenguas s/n 
44340 Fuentes Claras (Teruel)
Spain"
Tianjin,China,Vision Systems,,,"Location of SMR Tianjin is at No.4 Shengda 2nd branch road, Xeda Industrial Park Tianjin Xiqing Economic-technological Development Area, 300383, China. The transportation to and from the location to center of the city is developed well.It is convenient for the customers and visitor to arrive at the plant  from the town of the city and from Beijing as well.
It is also a suitable place to settle down for  residents and immigrant. Welcome all the talent and visitor to the plant.",,,"Yijing Apartment 9-2-508
Junction of Center Avenue and East Fifth Street
Tianjin Pilot Free Trade Zone
Konggang District
China"
Tlaxcala,Mexico,Modules and Polymers,"SMP Tlaxcala has approximately 510 employees. It is a brand new factory equipped with state-of-the-art production technology and an attractive place to work in. Here we produce high quality automotive exterior modules such as bumpers, spoilers and many more. Join our team and help us to shape world class vehicles with our products.",,"Notable architecture and cultural diversity
Located in central Mexico, east of Mexico City, Tlaxcala is Mexico´s smallest state with a rising population and a long and rich history of cultural diversity.
Today, modern industries are bringing new prosperity to Tlaxcala’s inhabitants. It has good weather all year round and notable architecture such as the Palacio de Gobierno of Tlaxcala and the Parroquia San Jose in the historic centre. Zitlaltepec is a municipality of Tlaxcala with a population of more than 6000 inhabitants. ",,,"Av. Tlaxcala 480, Barrio del Calvario
72700 San Juan Cuautlancingo
Mexico"
Troy,USA,Vision Systems,,,Info available on SMR website under current location descriptions,,,
Túrkeve,Hungary,Vision Systems,Information on website is OK ,"We have sevaral CSR program, that we organize regularly. Charity day, Playground renovation, Bycicle day, Hospital Charity, we support disadvantaged families/children. ",Túrkeve :: SMR Automotive (smr-automotive.com),,,"Kisújszállási utca. 52/B.
5420 Túrkeve
Hungary"
Tuscaloosa,USA,Modules and Polymers,"The groundbreaking ceremony for the SMP plant in Tuscaloosa took place in February 2016 and the plant is still being developed – an ideal stage for motivated people to join the team. The start of production of painted parts such as bumpers, spoilers and rocker panels is planned for September 2018. Join our team and help us to shape world class vehicles with our products.",,"Where industry and education are the foundation for (a better) tomorrow
Tuscaloosa has been named the ""Most Livable City in America,"" as it is one of the largest and oldest cities in Alabama.
Tuscaloosa is the center of industry, commerce, health care, and education for the state’s western region, whose progressive business climate has attracted international attention as one of Alabama’s most dynamic and diverse economies, with automotive being the largest manufacturing industry segment. Tuscaloosa is rooted in history and is commonly known for The University of Alabama, 16 National College Football Championships, the Black Warrior River, an array of parks and museums, its bustling nightlife and its central location in relation to other popular American cities.
With five major bodies of water and a vast array of parks, the city offers a variety of outdoor activities including water sports on Lake Tuscaloosa, cycling, running or walking at the River Walk, and playing sports or picnicking at one of Tuscaloosa’s Parks and Recreation Authority (PARA) locations. The central location of the city makes for convenient weekend holidays with New Orleans, Memphis, Atlanta and the Gulf Coast all within a one-day drive.",,,"10799 , Ed Stephens Rd
Cottondale , Tuscaloosa
Alabama 35453
United States"
Wedemark,Germany,Vision Systems,,,Info available on SMR website under current location descriptions,,,"Fuhrberger Weg 10
30900 Wedemark
Germany
"
Yangcheng,China,Vision Systems,,gerocomium,Info available on SMR website under current location descriptions,-,,
Yokohama,Japan,Vision Systems,,,Info available on SMR website under current location descriptions,,,"MSSL Japan
6F Shin-Yokoha+E6:J7ma IK building 2-12-12
Shin-Yokohama Kohoku-ku, Yokohama
Kanagawa, 222-0033
Japan"
Yokohama,Japan,Modules and Polymers,"Office located near central Yokohama hub station with well connected several transport links. It’s just a few minutes away from subway and train station. There are many shopping malls, hotels, parks and large convention center in walkable distance from office.   ",,"Yokohama is a city of Kanagawa, Japan. It’s located south of Tokyo area where is easy access just 30mins from Haneda Tokyo International Airport. Yokohama is 2nd largest city of population and one of biggest port in Asia and very famous tourist place for sight seen as well. Yokohama Bay area was developed dock yards as ship building industrial zone by Mitsubishi since 100 years ago. Mitsubishi re-developed the distric for business, shopping and residence area called MM21 as new metropolitan city.    ",,,"MSSL Japan
6F Shin-Yokoha+E6:J7ma IK building 2-12-12
Shin-Yokohama Kohoku-ku, Yokohama
Kanagawa, 222-0033
Japan"
Zaragoza,Spain,Modules and Polymers,"Today, roughly 80% of vehicles produced in Spain are manufactured within 300 kilometers of Zaragoza.
Zaragoza is the home of our joint venture Cefa. For more information please visit www.cefa.es.",,"Location of our joint venture CEFA
Zaragoza, the capital of the Region of Aragon, is located on the banks of the Ebro River, halfway between Madrid and Barcelona.
Zaragoza is filled with culture, as noted by monuments in the streets of the city providing vestiges of the Roman, Moorish, Jewish and Christian communities who left their mark on the city. In addition to being designated as a UNESCO World Heritage site, Zaragoza offers a wide range of leisure activities including theatres, cinemas, exhibitions, concerts, festivals, and fairs.
The most strategic and important sector of the local economy is the automobile industry. The University of Zaragoza is based in the city. As one of the oldest universities in Spain and a major research and development center, this public university awards all the highest academic degrees in dozens of fields. Zaragoza is also home to the MIT - Zaragoza International Logistics Program, a unique partnership between MIT, the Government of Aragon, and the University of Zaragoza. As a result, Zaragoza offers employers a strong talent pool from which to recruit.",,,"Poligono Industrial Valdemuel s/n,
50290 Epila/Zaragoza
Spain"
